Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,albidoflavus_J1074,albidoflavus_J1074_R2,albidoflavus_SM254,albidoflavus_UYFA156,albidoflavus_W68
fadA_1,,3-ketoacyl-CoA thiolase,5,5,1,1,261,,,,21161,28640,27144,albidoflavus_J1074_00558,albidoflavus_J1074_R2_00633,albidoflavus_SM254_00564,albidoflavus_UYFA156_00114,albidoflavus_W68_00086
rpmE2,,50S ribosomal protein L31 type B,5,5,1,1,341,,,,254,254,254,albidoflavus_J1074_00486,albidoflavus_J1074_R2_00561,albidoflavus_SM254_00494,albidoflavus_UYFA156_00185,albidoflavus_W68_00157
pigE,,Aminotransferase PigE,5,5,1,1,822,,,,1424,1424,1424,albidoflavus_J1074_00082,albidoflavus_J1074_R2_00082,albidoflavus_SM254_00132,albidoflavus_UYFA156_00485,albidoflavus_W68_00416
iucC_2,,Aerobactin synthase,5,5,1,1,424,,,,1820,1820,1820,albidoflavus_J1074_00406,albidoflavus_J1074_R2_00482,albidoflavus_SM254_00415,albidoflavus_UYFA156_00221,albidoflavus_W68_00191
group_1003,,hypothetical protein,5,5,1,1,418,,,,725,725,725,albidoflavus_J1074_00411,albidoflavus_J1074_R2_00487,albidoflavus_SM254_00421,albidoflavus_UYFA156_00216,albidoflavus_W68_00186
bcrA,,Bacitracin transport ATP-binding protein BcrA,5,5,1,1,446,,,,941,941,941,albidoflavus_J1074_00344,albidoflavus_J1074_R2_00420,albidoflavus_SM254_00354,albidoflavus_UYFA156_00242,albidoflavus_W68_00213
paaB,,"1,2-phenylacetyl-CoA epoxidase, subunit B",5,5,1,1,226,,,,302,302,302,albidoflavus_J1074_00589,albidoflavus_J1074_R2_00664,albidoflavus_SM254_00596,albidoflavus_UYFA156_00067,albidoflavus_W68_00051
group_1006,,Biflaviolin synthase CYP158A2,5,5,1,1,301,,,,1232,1232,1232,albidoflavus_J1074_00517,albidoflavus_J1074_R2_00592,albidoflavus_SM254_00524,albidoflavus_UYFA156_00155,albidoflavus_W68_00127
group_1007,,hypothetical protein,5,5,1,1,285,,,,194,194,194,albidoflavus_J1074_00533,albidoflavus_J1074_R2_00608,albidoflavus_SM254_00540,albidoflavus_UYFA156_00139,albidoflavus_W68_00111
opuBB_1,,Choline transport system permease protein OpuBB,5,5,1,1,299,,,,671,671,671,albidoflavus_J1074_00519,albidoflavus_J1074_R2_00594,albidoflavus_SM254_00526,albidoflavus_UYFA156_00153,albidoflavus_W68_00125
group_1009,,hypothetical protein,5,5,1,1,825,,,,779,779,779,albidoflavus_J1074_00079,albidoflavus_J1074_R2_00079,albidoflavus_SM254_00129,albidoflavus_UYFA156_00488,albidoflavus_W68_00419
lacC,,Tagatose-6-phosphate kinase,5,5,1,1,1013,,,,410,947,839,albidoflavus_J1074_00025,albidoflavus_J1074_R2_00025,albidoflavus_SM254_00076,albidoflavus_UYFA156_00542,albidoflavus_W68_00474
group_1010,opuBB_1,Choline transport system permease protein OpuBB,5,5,1,1,463,,,,710,716,712,albidoflavus_J1074_00328,albidoflavus_J1074_R2_00404,albidoflavus_SM254_00338,albidoflavus_UYFA156_00261,albidoflavus_W68_00230
fabG_1,,3-oxoacyl-[acyl-carrier-protein] reductase FabG,5,5,1,1,230,,,,776,776,776,albidoflavus_J1074_00585,albidoflavus_J1074_R2_00660,albidoflavus_SM254_00592,albidoflavus_UYFA156_00071,albidoflavus_W68_00055
